Data,Productie[MW],Carbune[MW],Hidrocarburi[MW],Ape[MW],Nuclear[MW],Eolian[MW],Foto[MW],Biomasa[MW],Sold[MW],Consum_Max[MW]
01-01-2024 22:54:06,7606.0,727.0,1422.0,1918.0,1398.0,2110.0,-1.0,32.0,-2416,5280.0
01-01-2024 22:44:06,7593.0,727.0,1420.0,1915.0,1397.0,2102.0,-1.0,32.0,-2366,5280.0
01-01-2024 22:34:16,7623.0,726.0,1427.0,1923.0,1399.0,2116.0,-1.0,32.0,-2356,5280.0
01-01-2024 22:24:26,7609.0,728.0,1413.0,1925.0,1396.0,2117.0,-1.0,31.0,-2311,5298.0
01-01-2024 22:14:05,7644.0,735.0,1420.0,1938.0,1399.0,2116.0,-1.0,32.0,-2282,5362.0
01-01-2024 22:04:05,7671.0,728.0,1421.0,1954.0,1400.0,2131.0,-1.0,32.0,-2291,5379.0
01-01-2024 21:54:05,7653.0,702.0,1369.0,1990.0,1398.0,2164.0,-1.0,31.0,-2211,5511.0
01-01-2024 21:44:07,7668.0,707.0,1372.0,1988.0,1401.0,2168.0,-1.0,33.0,-2228,5511.0
01-01-2024 21:34:17,7730.0,726.0,1404.0,2032.0,1393.0,2145.0,-1.0,32.0,-2217,5513.0
01-01-2024 21:24:27,7736.0,733.0,1426.0,2042.0,1399.0,2106.0,-1.0,31.0,-2191,5546.0
01-01-2024 21:14:05,7718.0,744.0,1438.0,2054.0,1398.0,2052.0,-1.0,32.0,-2159,5559.0
01-01-2024 21:04:05,7797.0,745.0,1439.0,2090.0,1396.0,2096.0,-1.0,31.0,-2219,5577.0
01-01-2024 21:04:05,7797.0,745.0,1439.0,2090.0,1396.0,2096.0,-1.0,31.0,-2219,5577.0
01-01-2024 20:54:05,7797.0,731.0,1423.0,2177.0,1399.0,2036.0,-1.0,32.0,-2188,5677.0
01-01-2024 20:44:08,7767.0,733.0,1425.0,2172.0,1398.0,2007.0,-1.0,32.0,-2072,5695.0
01-01-2024 20:34:18,7748.0,730.0,1417.0,2176.0,1396.0,1997.0,-1.0,31.0,-2077,5677.0
01-01-2024 20:24:28,7790.0,731.0,1428.0,2170.0,1396.0,2034.0,-1.0,32.0,-2094,5696.0
01-01-2024 20:24:28,7790.0,731.0,1428.0,2170.0,1396.0,2034.0,-1.0,32.0,-2094,5696.0
01-01-2024 20:14:05,7791.0,729.0,1419.0,2167.0,1400.0,2044.0,-1.0,32.0,-2090,5700.0
01-01-2024 20:04:05,7764.0,734.0,1424.0,2174.0,1399.0,2003.0,-1.0,31.0,-2052,5713.0
01-01-2024 19:54:05,7678.0,734.0,1421.0,2167.0,1394.0,1932.0,-1.0,31.0,-1935,5743.0
01-01-2024 19:44:09,7549.0,738.0,1436.0,2051.0,1397.0,1896.0,-1.0,31.0,-1830,5743.0
01-01-2024 19:34:19,7495.0,743.0,1437.0,2046.0,1398.0,1839.0,-1.0,32.0,-1751,5744.0
01-01-2024 19:24:29,7463.0,741.0,1439.0,2043.0,1396.0,1813.0,-1.0,32.0,-1718,5745.0
01-01-2024 19:14:05,7416.0,736.0,1419.0,2039.0,1397.0,1794.0,-1.0,32.0,-1677,5743.0
01-01-2024 19:04:05,7409.0,731.0,1429.0,2033.0,1397.0,1788.0,-1.0,32.0,-1652,5757.0
01-01-2024 18:54:05,7319.0,721.0,1399.0,1958.0,1396.0,1812.0,-1.0,32.0,-1570,5759.0
01-01-2024 18:44:10,7343.0,719.0,1404.0,1966.0,1396.0,1827.0,-1.0,32.0,-1596,5759.0
01-01-2024 18:34:20,7305.0,693.0,1367.0,1955.0,1393.0,1865.0,-1.0,32.0,-1552,5759.0
01-01-2024 18:24:30,7369.0,689.0,1324.0,2057.0,1396.0,1871.0,-1.0,32.0,-1620,5759.0
01-01-2024 18:14:05,7512.0,723.0,1402.0,2114.0,1396.0,1845.0,-1.0,32.0,-1751,5762.0
01-01-2024 18:04:06,7419.0,716.0,1386.0,2095.0,1396.0,1795.0,-1.0,32.0,-1694,5759.0
01-01-2024 17:54:06,7334.0,735.0,1424.0,2067.0,1395.0,1681.0,-1.0,32.0,-1587,5746.0
01-01-2024 17:44:11,7206.0,735.0,1420.0,2068.0,1397.0,1554.0,-1.0,31.0,-1470,5736.0
01-01-2024 17:34:21,7088.0,728.0,1408.0,2060.0,1395.0,1461.0,4.0,32.0,-1375,5713.0
01-01-2024 17:24:31,7000.0,735.0,1420.0,2061.0,1395.0,1356.0,-1.0,32.0,-1333,5670.0
01-01-2024 17:14:05,6867.0,722.0,1404.0,2056.0,1396.0,1256.0,0.0,32.0,-1263,5670.0
01-01-2024 17:04:05,6788.0,724.0,1403.0,2042.0,1392.0,1193.0,1.0,32.0,-1294,5670.0
01-01-2024 16:54:04,6708.0,731.0,1422.0,1969.0,1395.0,1157.0,3.0,31.0,-1279,5429.0
01-01-2024 16:43:13,6675.0,736.0,1419.0,1970.0,1395.0,1104.0,20.0,31.0,-1396,5279.0
01-01-2024 16:33:23,6602.0,733.0,1424.0,1963.0,1397.0,1030.0,25.0,32.0,-1404,5198.0
01-01-2024 16:23:33,6495.0,734.0,1416.0,1948.0,1396.0,937.0,32.0,32.0,-1367,5185.0
01-01-2024 16:13:05,6333.0,736.0,1431.0,1832.0,1396.0,863.0,42.0,32.0,-1308,5185.0
01-01-2024 16:03:05,6250.0,745.0,1426.0,1798.0,1396.0,788.0,64.0,32.0,-1273,5185.0
,,,,,,,,,,
,,,,,,,,, * - estimare,
